Equipment/Item,Frequency,Maintenance Task
"Fire Pump (Electrical, Diesel and Jockey Pump)",Weekly,"Check for any leaks, loose connections, or obvious damage."
"Fire Pump (Electrical, Diesel and Jockey Pump)",Weekly,"Jockey pump- Ensure it's running at rated speed. Monitor pressure, flow, and check for leaks or unusual noises."
"Fire Pump (Electrical, Diesel and Jockey Pump)",Weekly,Electrical Pump: Briefly run the pump (if safe to do so and per site procedure) to ensure it starts and runs smoothly. Check for unusual vibrations or noises.
"Fire Pump (Electrical, Diesel and Jockey Pump)",Weekly,"Diesel Pump: Check engine oil levels, coolant levels, and battery charge. Briefly run the engine to ensure it starts and operates without issues."
"Fire Pump (Electrical, Diesel and Jockey Pump)",Weekly,Control Panel: Check indicator lights and ensure the system is in an 'Auto' or ready state
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,"Inspect pump casing, seals, bearings, and couplings for wear or damage."
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,"Electrical Pump: Run the pump for a designated period (e.g., 15-30 minutes) Monitor pressure, flow, and temperature."
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,"Diesel Pump: Run the engine for a longer period (e.g., 30 minutes), checking for leaks, proper operation of governor, exhaust system, and all engine components"
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,Battery Check (Diesel Pump): Test battery voltage and specific gravity (if applicable). Clean terminals.
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,Cooling System (Diesel Pump): Check coolant level and condition.
"Fire Pump (Electrical, Diesel and Jockey Pump)",Monthly,Fuel System (Diesel Pump): Check fuel level and look for any signs of leaks or contamination
"Fire Pump (Electrical, Diesel and Jockey Pump)",3 Monthly,Flow Testing: Conduct a full flow test to verify pump performance against its rated capacity and pressure.
"Fire Pump (Electrical, Diesel and Jockey Pump)",3 Monthly,Alarm System Test: Test all alarm functions and interlocks associated with the fire pump system
"Fire Pump (Electrical, Diesel and Jockey Pump)",Yearly,Carry out major overhauling of all pumps periodically to maintain system pressure
Fire Hydrant,Weekly,"Visual Check: Ensure the hydrant is visible, accessible, and not obstructed by landscaping, vehicles, or debris. Check for obvious damage or leaks. Check that it drains properly after closure (if applicable to the type of hydrant)."
Fire Hydrant,Weekly,"Check Caps: Ensure all outlet caps are in place, secure, and have their gaskets intact."
Fire Hydrant,Monthly,Operate Hydrant: Briefly open and close the hydrant to ensure the valve operates smoothly and there are no leaks from the barrel or outlets.
Fire Hydrant,3 Monthly,Lubrication: Lubricate the operating nut and stem threads.
Fire Hydrant,3 Monthly,"Inspect Barrel and Valve: Check for corrosion, damage, or leaks."
Fire Hydrant,3 Monthly,Test Draining Mechanism: Ensure the drain valve operates correctly to prevent water from freezing in the barrel
Fire Hydrant,Yearly,Full pressure test
"Fire Hose and Nozzle, Hose Box",Weekly,"Ensure the box is clean, unlocked (or if locked, the key is in its designated accessible spot), and free from damage."
"Fire Hose and Nozzle, Hose Box",Weekly,"Check that the hose and nozzle are properly stored and that readily accessible. Visual Check: Inspect the hose for any cuts, abrasions, cracks, mildew, or signs of deterioration. Ensure couplings are not damaged"
"Fire Hose and Nozzle, Hose Box",Monthly,"Ensure couplings are clean, free from damage, and the gaskets are present and in good condition."
